"employment.farmers","employment.tradesmen","employment.managers","employment.workers","employment.unemployed","employment.middleempl","employment.retired","employment.employrate","employment.income","housing.density","housing.primaryres","housing.houses","housing.owners","housing.council","services.butcher","services.baker","services.postoffice","services.dentist","services.grocery","services.nursery","services.doctor","services.chemist","services.restaurant","environment.building","environment.water","environment.vegetation","environment.agricul"
6.52,0,4.35,45.65,13.04,2.17,28.26,93.39,20744.87,125.26,85.36," sup 90%",67.74," inf 5%","0","0","0","0","0","0","0","0","0",1.932854676,11.91019872,12.57025394,70.25386585
3.94,5.51,0.79,30.71,12.6,12.6,33.86,89.96,20471.01,30.95,70.77," sup 90%",78.97," inf 5%","0","0","0","0","0","0","0","0","0",0.608614969,0.076112967,13.43257013,84.35073201
22.33,0,0,15.95,22.33,6.38,33.01,88.57,15892.94,25.04,87.22," sup 90%",81.82," inf 5%","0","0","0","0","0","0","0","0","1",0.630121412,0.022491455,25.46359641,70.98433235
0.61,4.24,7.88,38.79,12.12,15.76,20.61,90.99,24293.26,66.31,94.41," sup 90%",75.44," sup 5%","1","2 or +","0","0","0","0","0","0","1",0.652203719,0.02553713,56.18988243,33.97556559
0,5.13,7.69,46.15,12.82,7.69,20.51,93,18216.25,36.46,79.05," sup 90%",83.13," inf 5%","0","1","0","0","0","0","0","0","1",0.595671218,0.230046462,29.07054048,67.69821219
0,2.27,2.27,55.68,9.09,10.23,20.45,89.73,19374.65,281.93,90.92," sup 90%",86.81," inf 5%","0","0","0","0","0","0","0","0","0",3.004747331,0,24.05681665,69.90630619
15.38,0,15.38,7.69,15.38,7.69,38.46,88.64,20479.93,18.36,87.76," sup 90%",76.74," inf 5%","0","0","0","0","0","0","0","0","0",0.480992623,0.09806586,24.83229501,71.6869235
12.77,0,2.13,40.43,4.26,10.64,29.79,86.09,19313.87,38.55,71.14," inf 90%",71.57," inf 5%","0","0","0","0","0","0","0","0","1",0.707941382,0.100333818,20.26413456,74.25618266
4,4,8,40,8,12,24,88.33,16154.95,44.8,88.43," sup 90%",75.93," inf 5%","0","0","0","0","0","0","0","0","0",0.679514563,0.98095131,15.87445873,82.3126788
7.27,5.45,1.82,25.45,5.45,7.27,47.27,91.27,17149.33,28.63,81.28," sup 90%",76.11," inf 5%","0","0","0","0","0","0","0","0","0",0.752962572,0.776597812,22.65715193,74.89406564
12.2,0,12.2,43.9,4.88,4.88,21.95,91.18,19911.29,20.9,79.96," sup 90%",73.17," inf 5%","0","0","0","0","0","0","0","0","0",0.321804904,0.013874914,66.29463761,27.11511096
0.36,3.32,3.49,35.78,14.84,9.3,32.92,84.24,17929.81,236.69,88.56," inf 90%",57.32," sup 5%","2 or +","2 or +","1 or +","3 or +","1 or +","0","3 or +","2 or +","3 or +",2.280604307,3.270143625,23.93999016,56.63574255
12.5,0,12.5,25,12.5,12.5,25,94.74,18724.78,25.59,81.99," sup 90%",77.78," inf 5%","0","0","0","0","0","0","0","0","0",0.684229779,0.54782082,14.79564046,82.51397951
0.36,3.67,5.81,36.61,11.85,13.86,27.85,91.58,19854.25,515.96,92.95," inf 90%",52.75," sup 5%","2 or +","2 or +","1 or +","3 or +","1 or +","0","3 or +","2 or +","3 or +",3.526585516,0.061819474,40.01397221,40.26794039
0,5.26,9.47,29.47,10.53,25.26,20,93.43,23964.73,105.84,93.08," sup 90%",83.87," inf 5%","0","0","0","0","0","0","0","0","1",1.080790135,0.080071413,40.69430079,54.37919777
2.37,4.74,3.95,39.13,12.65,11.86,25.3,90.05,19109.44,123.01,94.07," sup 90%",83.06," inf 5%","0","1","0","0","1 or +","0","1 to 2","0","0",1.37315144,0.037754214,30.99416828,62.69928705
0.79,2.88,5.24,35.34,17.54,18.06,20.16,91.75,22673.73,220.74,94.26," sup 90%",72.46," inf 5%","2 or +","1","1 or +","0","1 or +","0","1 to 2","1","1",2.047827647,10.52530353,17.32965279,61.69077611
4.35,4.35,4.97,34.16,16.15,14.29,21.74,87.16,19161.86,24.52,86.03," sup 90%",69.16," sup 5%","0","0","0","0","1 or +","0","0","0","0",0.328708264,0.072587037,82.17926014,13.17749811
2.11,5.26,5.26,33.68,11.58,15.79,26.32,93.33,24530.36,78.09,93.4," sup 90%",80.43," inf 5%","0","0","0","0","0","0","0","0","0",0.808177907,0.378779135,55.14287171,35.642702
1.75,2.34,3.8,45.32,15.79,9.94,21.05,91.2,19242.16,108.27,87.59," sup 90%",75.65," inf 5%","0","0","0","1 to 2","0","0","1 to 2","0","3 or +",0.719768072,22.99260949,20.1024976,50.7531562
3.19,3.19,4.26,35.11,11.7,10.64,31.91,91.32,18926.19,84.47,91.13," sup 90%",78.29," inf 5%","1","0","0","0","0","0","0","0","1",0.84533995,0.010133553,24.90285908,69.72265561
10,10,10,35,15,0,20,92.16,18251.45,61.33,84.57," sup 90%",70.73," inf 5%","0","0","0","0","0","0","0","0","0",0.935093774,0,26.95639338,70.3345466
7.41,3.7,3.7,25.93,3.7,11.11,44.44,95.83,22091.88,27.18,79.72," sup 90%",85.71," inf 5%","0","0","0","0","0","0","0","0","0",0.560295183,0.058085809,26.20787382,70.71460136
9.63,3.85,0,23.12,9.63,9.45,44.31,90.63,18562.78,25.6,70.13," sup 90%",82.47," inf 5%","0","0","0","0","0","0","0","0","0",0.795274559,0.56794696,19.05111484,79.32985284
2.19,2.73,2.73,33.88,11.48,8.74,38.25,88.51,15629.78,23.5,85.63," sup 90%",83.94," inf 5%","1","0","0","0","0","0","0","0","0",0.471324293,0.104861404,65.54406556,25.87190508
12.5,3.13,0,34.38,6.25,12.5,31.25,91.3,24859.69,31.07,85.29," sup 90%",76.19," inf 5%","1","0","0","0","0","0","0","0","0",0.733641841,0,35.18116375,58.5814907
9.43,7.55,3.77,28.3,20.75,11.32,18.87,94.68,70061.62,36.55,85.71," sup 90%",84.37," inf 5%","0","0","0","0","0","0","0","0","1",0.627787082,0.051747954,19.34773845,77.70240267
0.24,2.64,1.2,36.78,20.43,8.89,29.81,83.09,15541.05,124.24,87.29," sup 90%",69.31," sup 5%","0","2 or +","1 or +","1 to 2","0","0","1 to 2","2 or +","0",1.153658013,1.358596346,45.26384977,42.80021938
0,0,9.68,19.35,6.45,25.81,38.71,88.24,15720.81,5.67,73.64," sup 90%",75.34," inf 5%","0","0","0","0","0","0","0","0","0",0.11357947,0.011107446,94.34954094,2.660816162
9.8,1.96,0,33.33,5.88,7.84,41.18,90.58,21149.06,55.38,86.18," sup 90%",83.02," inf 5%","0","0","0","0","0","0","0","0","0",1.104864818,0.00305967,25.64423603,70.54791368
0.72,5.04,5.04,41.73,15.11,19.42,12.95,93.57,20239.86,104.86,89.31," sup 90%",82.21," inf 5%","0","0","0","0","0","0","0","0","1",0.952619355,2.321749065,28.10592204,62.23463718
13.46,1.92,7.69,28.85,13.46,15.38,19.23,94.66,18914.89,53.53,90.04," sup 90%",80.73," inf 5%","0","0","0","0","0","0","0","0","0",0.721241812,0.252578182,16.19135303,82.1443872
1.75,3.51,3.51,36.49,15.79,17.19,21.75,85.17,16654.21,133.36,89.92," inf 90%",57.96," sup 5%","1","1","1 or +","1 to 2","0","0","1 to 2","1","2",1.433441952,1.426412693,30.43388942,54.49176671
1.65,5.79,4.96,22.32,14.84,6.61,43.82,86.24,20073.78,75.76,79.24," sup 90%",78.28," inf 5%","0","1","0","0","1 or +","0","0","0","0",1.864317503,4.189196462,23.1735525,64.55023936
1.44,6.47,2.16,35.97,13.67,10.79,29.5,83.82,17072.47,160.28,86.25," sup 90%",69.23," inf 5%","1","1","1 or +","1 to 2","0","0","1 to 2","0","1",1.962613015,0.148561231,14.39429507,77.9333365
0.35,3.76,10.19,29.62,15.6,15.68,24.79,90.74,24665.2,1577.52,96.36," inf 90%",58.34," sup 5%","2 or +","2 or +","1 or +","3 or +","1 or +","1 or +","3 or +","2 or +","3 or +",9.956076284,0.211621617,17.53092216,25.57659762
2.35,3.53,3.53,40,20,8.24,22.35,91.98,20102.76,38.03,91.25," sup 90%",85.53," inf 5%","0","0","0","0","0","0","0","0","0",0.67642442,0.134432195,29.05686228,65.54816209
1.61,2.9,10.65,30.65,17.74,10.97,25.48,90.89,24795.31,106.23,92.02," sup 90%",74.49," inf 5%","0","1","0","0","0","0","0","0","1",0.831418977,0.043051372,58.00241553,34.75673878
0,6.66,10.97,27.71,8.82,19.07,26.77,92.49,26190.99,389.03,95.15," inf 90%",64.31," inf 5%","1","2 or +","1 or +","3 or +","0","0","3 or +","1","3 or +",2.456057566,0.131770143,43.60898903,37.27163318
0.99,2.97,1.98,44.55,17.82,5.94,25.75,86.7,16173.21,33.2,85.83," sup 90%",76.06," inf 5%","0","0","0","0","0","0","0","0","0",0.340410596,0.587417993,50.77146931,44.96632453
0.01,2.87,5.83,36.97,17.26,12.69,24.37,82.33,18492.8,1831.83,95.42," inf 90%",45.3," sup 5%","2 or +","2 or +","1 or +","3 or +","1 or +","1 or +","3 or +","2 or +","3 or +",10.07561524,2.794214622,27.3279349,13.49094355
2.7,4.5,0,39.64,14.41,8.11,30.63,87.5,18438.75,66.41,83.51," sup 90%",73.39," inf 5%","0","0","0","0","0","0","0","0","1",1.222495405,4.190012094,14.26773457,76.13040194
0,9.52,9.52,33.33,19.05,14.29,14.29,94.45,15642.57,30.54,88.54," sup 90%",69.23," inf 5%","0","0","0","0","0","0","0","0","0",0.907761469,1.112168063,21.15388355,66.48515845
0,5.58,4.34,36.08,14.27,10.58,29.15,86.49,19399.58,101.04,93.78," sup 90%",77.07," inf 5%","0","1","0","0","0","0","1 to 2","0","0",1.74505989,5.07563015,12.20600992,79.26555742
2.86,5.71,0,31.43,11.43,20,28.57,92.94,19592.87,20,93.26," sup 90%",73.33," inf 5%","0","0","0","0","0","0","0","0","0",0.382753119,0.118812025,39.19503946,53.98941378
5.26,1.75,7.02,36.84,12.28,8.77,28.07,90.91,21657.8,61.64,92.79," sup 90%",83.33," inf 5%","0","0","0","0","0","0","0","0","0",1.045900959,2.452892449,15.07531224,78.82108899
2.22,2.22,2.22,28.89,22.22,4.44,37.78,91.11,19547.77,31.87,86.32," sup 90%",82.93," inf 5%","0","1","0","0","0","0","0","0","0",0.629928693,0.412546746,39.71317389,55.7518877
5.16,7.98,4.23,29.58,13.62,12.21,27.23,89.5,27452.65,68.61,84.72," inf 90%",65.11," inf 5%","0","1","1 or +","1 to 2","0","0","1 to 2","1","3 or +",1.09176488,10.83683509,18.64853182,66.82420795
2.74,5.48,5.48,38.36,17.12,10.27,20.55,90.46,17156.74,49.51,82.92," inf 90%",71.17," sup 5%","0","1","1 or +","0","0","0","1 to 2","1","0",0.675929249,0.165786463,25.9971768,68.80043989
3.08,10.77,4.62,27.69,10.77,15.38,27.69,92.9,18292.47,59.5,81.1," sup 90%",72.18," inf 5%","0","0","0","0","0","0","0","0","0",1.016076762,0.047283415,29.13041645,65.75039286
1.4,3.28,4.21,33.92,12.63,9.36,35.2,85.62,20247.97,48.33,81.63," sup 90%",80.61," inf 5%","1","1","1 or +","0","0","0","0","0","3 or +",0.786311739,0.135913633,64.6724075,28.09481245
2.3,3.45,2.3,28.74,16.09,5.75,41.38,86.06,17207.61,31.84,84.76," sup 90%",71.52," inf 5%","0","1","0","0","0","0","0","0","0",0.506638548,0.287609947,43.22485367,50.0682631
2.93,2.52,4.72,33.54,12.46,14.47,29.36,92.08,20909.83,187.94,83.48," sup 90%",73.18," sup 5%","1","2 or +","0","3 or +","0","0","3 or +","1","3 or +",1.577583704,0.258900526,29.78994171,62.12614109
0,2.78,2.78,36.11,13.89,16.67,27.78,94.27,18631.08,26.96,87.18," sup 90%",68.42," inf 5%","0","0","0","0","0","0","0","0","0",0.502011377,0.077380108,43.23904548,52.77696305
5,3.33,1.67,50,11.67,6.67,21.67,91.03,19941.91,31.84,83.77," sup 90%",70.43," inf 5%","0","0","0","0","0","0","0","0","0",0.659532058,0.287690275,38.95835974,57.06683569
4.79,4.19,6.59,29.94,10.78,11.98,31.74,87.26,19660.68,153.97,79.92," sup 90%",80.11," inf 5%","0","1","1 or +","1 to 2","1 or +","0","1 to 2","1","3 or +",1.148638406,39.40783423,13.44026613,33.59770528
0,4.05,2.7,46.4,11.71,19.82,15.32,91.75,20016.23,210.61,98.24," sup 90%",86.57," inf 5%","0","0","1 or +","0","1 or +","0","0","0","1",2.059450972,0.193766674,33.04319295,63.61159541
2.68,1.79,2.68,38.39,14.29,13.39,26.79,92.77,19657.15,61.02,86.99," sup 90%",88.74," inf 5%","0","0","0","0","1 or +","0","0","0","0",1.198682631,0.200926504,40.11055245,52.61049937
2.37,5.04,6.82,37.39,12.76,16.02,19.58,93.21,24357.13,131.06,85.9," inf 90%",71.17," inf 5%","0","0","1 or +","0","1 or +","0","1 to 2","0","0",1.203033543,3.15392459,19.31629935,71.89921494
3.33,6.11,2.78,25.56,15,7.22,40,86.82,17604.94,90.83,84.26," inf 90%",66.41," inf 5%","1","2 or +","1 or +","0","1 or +","0","1 to 2","1","3 or +",1.205536449,0.165186134,24.45718475,69.91050929
1.26,5.04,4.2,35.29,13.45,8.82,31.93,86.99,16016.92,129.98,81.41," inf 90%",61.8," sup 5%","0","1","1 or +","1 to 2","0","0","1 to 2","1","1",2.140584912,2.9909372,28.51087349,59.62967285
2.56,5.13,0,28.21,2.56,10.26,51.28,89.58,17055.65,6.11,78.01," sup 90%",80.25," inf 5%","0","0","0","0","0","0","0","0","0",0.118552395,0.000351356,95.33748233,1.607601491
5.06,2.53,1.27,43.04,7.59,7.59,32.91,86.89,19737.52,45.63,87.94," sup 90%",67.43," inf 5%","0","0","0","0","1 or +","0","1 to 2","1","1",0.950811369,0.226096006,14.83945644,81.39396824
0,10.53,0,36.84,10.53,5.26,36.84,85,22847.6,4.82,73," sup 90%",73.81," inf 5%","0","0","0","0","0","0","0","0","1",0.095307403,0.000512257,93.5111001,4.055010789
3.33,4.44,4.44,26.67,14.44,6.67,40,90.24,22443.27,53.87,80.85," sup 90%",82.29," inf 5%","0","0","0","0","0","0","0","0","1",0.64414237,4.355393629,38.34462581,44.17223789
0.01,2.09,12.21,21.54,22.33,13.98,27.85,90.83,27310.33,1482.94,93.69," inf 90%",54.55," sup 5%","2 or +","2 or +","1 or +","3 or +","0","1 or +","3 or +","2 or +","3 or +",7.986363169,0.067294266,37.67040334,3.313423796
2.21,8.09,4.04,28.31,11.76,5.88,39.71,84.94,19503.15,25.86,24.09," sup 90%",77.88," inf 5%","2 or +","1","1 or +","0","1 or +","0","1 to 2","0","3 or +",0.3860265,0.997809795,76.18066124,10.83640229
6.94,3.47,5.56,25.69,9.72,12.5,36.11,94.56,24899.03,89.99,82.73," sup 90%",74.1," inf 5%","0","0","0","0","0","0","0","0","0",1.345968436,0.494831649,22.25835545,71.99859198
0,4.84,4.03,26.22,14.53,7.26,43.11,88.8,16588.08,49.12,81.23," sup 90%",62.32," inf 5%","2 or +","2 or +","1 or +","1 to 2","1 or +","0","3 or +","2 or +","2",0.703193379,0.261256678,44.74471683,48.85834619
11.43,11.43,5.71,34.29,8.57,11.43,17.14,94.62,19469.82,60.78,88.6," sup 90%",82.35," inf 5%","0","0","0","0","0","0","1 to 2","0","0",0.989011317,0.128337154,10.79443444,87.22817255
1.19,2.38,2.38,36.9,14.29,17.86,25,88.44,17696.89,18,89.39," sup 90%",70," inf 5%","0","0","0","0","0","0","0","0","0",0.181978716,0.349024176,93.8880185,0
0.29,2.93,3.51,37.77,15.43,13.17,26.9,83.31,17226.74,329.28,85.51," inf 90%",50.7," sup 5%","2 or +","1","1 or +","3 or +","1 or +","0","1 to 2","2 or +","0",3.142613407,2.298223162,29.69788675,57.03689125
0.73,4.96,7.07,28.67,13.68,12.14,32.75,88.35,24116.42,348.1,77," inf 90%",69.97," inf 5%","1","2 or +","1 or +","3 or +","0","0","3 or +","2 or +","3 or +",2.948585855,1.102504803,53.28242027,3.424357786
0,2.65,11.87,27.21,15.69,18.77,23.81,92.48,27685.68,911.66,97.41," inf 90%",61.87," sup 5%","2 or +","2 or +","1 or +","3 or +","0","0","3 or +","2 or +","3 or +",7.808964646,0.395260287,29.75893995,18.93103979
3.23,5.16,10.97,27.74,11.61,18.71,22.58,94.27,23965.39,76.69,91.34," sup 90%",73.37," inf 5%","1","0","0","0","0","0","0","0","1",0.772944386,0.318424763,38.17134166,54.12591205
0.82,4.12,4.94,27.57,17.28,18.11,27.16,89.65,19381.46,22.28,80.05," sup 90%",70.47," sup 5%","1","0","1 or +","0","0","0","1 to 2","1","3 or +",0.18730852,3.357792993,89.5561966,1.787441659
0.3,4.06,4.49,30.51,12.41,11.59,36.64,84.41,20580.51,15.75,41.21," inf 90%",62.48," sup 5%","1","2 or +","1 or +","1 to 2","0","0","3 or +","1","3 or +",0.171294708,15.24127671,68.28852977,8.308059811
2.97,5.94,0.99,37.62,10.89,8.91,32.67,89.72,18827.38,69.25,86.5," sup 90%",75.47," inf 5%","0","1","0","0","1 or +","0","0","0","1",1.14414538,1.423925585,14.93219417,81.5161143
0.78,4.26,1.55,41.09,10.47,14.73,27.13,92.29,20817.13,43.47,87.87," sup 90%",77.91," inf 5%","1","1","1 or +","0","0","0","1 to 2","0","1",0.493565819,0.290355597,68.77570432,19.7402554
1.82,4.55,10.91,33.64,10,20,19.09,93.29,22525.25,121.84,89.13," sup 90%",74.63," inf 5%","0","0","0","0","1 or +","0","0","0","1",0.968692751,17.0317483,14.56326095,66.81295933
0.2,1.97,5.55,40.5,16.86,16.29,18.63,93.05,23005.29,344.45,96.47," sup 90%",79.37," sup 5%","0","2 or +","1 or +","1 to 2","0","0","3 or +","2 or +","2",2.408213077,14.75983365,25.92258017,41.51820081
4.23,5.16,1.88,27.23,14.08,7.98,39.44,88.32,16732.99,25.05,70.89," sup 90%",76.11," inf 5%","0","0","0","0","1 or +","0","1 to 2","0","3 or +",0.385956215,2.035881126,8.966829846,87.11916454
7.84,1.96,7.84,27.45,7.84,21.57,25.49,96.32,23793.31,50.27,91.09," sup 90%",86.43," inf 5%","0","0","0","0","0","0","0","0","1",0.773214392,0.152038833,19.53722973,75.30391312
7.55,5.66,7.55,24.53,16.98,5.66,32.08,94.21,17526.4,44.71,84," sup 90%",60.95," inf 5%","0","0","0","0","0","0","0","0","1",0.83323852,2.80625762,26.07033673,66.64251739
0,4.13,0.83,48.76,9.09,19.01,18.18,90.83,20360.72,131.09,90.59," sup 90%",76.68," inf 5%","0","0","0","0","0","0","0","0","1",1.343739309,0.503323593,39.835315,52.56914596
9.09,13.64,0,27.27,4.55,13.64,31.82,85.99,16089.4,17.36,83.22," sup 90%",77.5," inf 5%","0","0","0","0","0","0","0","0","0",0.317762218,0.696918623,61.94149458,32.11200472
0.67,3.21,14.71,26.04,17.59,18.21,19.59,94.58,31462.79,162.07,94.85," sup 90%",71," sup 5%","2 or +","2 or +","1 or +","3 or +","1 or +","0","3 or +","1","3 or +",1.63552214,0.568905301,67.04380169,13.12636878
0.11,8.08,6.2,27.52,14.04,12.29,31.77,87.49,24030.45,20.61,23.39," inf 90%",69.63," sup 5%","2 or +","2 or +","1 or +","1 to 2","1 or +","0","3 or +","2 or +","3 or +",0.288489291,8.726033309,80.62099792,0.812230697
24.32,2.7,5.41,32.43,5.41,2.7,27.03,96.33,22961.7,47.55,90.11," sup 90%",69.51," inf 5%","0","0","0","0","0","0","0","0","0",1.311848737,0.106873206,13.62184192,84.89590886
0,0,9.38,50,15.62,6.25,18.75,87.88,19056.28,22.19,90.06," sup 90%",71.67," inf 5%","0","0","0","0","0","0","0","0","1",0.318105669,0.006512615,56.4281687,39.66529064
0.64,7.32,4.14,43.95,11.79,10.19,21.97,86.9,18438.32,57.82,87.17," sup 90%",78.95," inf 5%","0","1","0","0","0","0","0","0","0",0.762570776,0.559154252,62.80525716,29.81989711
1.09,6.1,6.1,37.69,11.55,14.81,22.66,89.86,21790.63,262.6,91.66," sup 90%",87.33," inf 5%","0","2 or +","0","1 to 2","0","0","1 to 2","1","2",2.058776537,0.041462055,25.88010095,70.09471489
1.33,5.31,3.54,40.71,11.06,9.29,28.76,87.21,19322.65,129.52,86.29," sup 90%",72.66," inf 5%","0","1","1 or +","1 to 2","1 or +","0","1 to 2","1","2",1.153275845,16.39456786,16.79224478,61.74094546
2.53,5.07,1.69,37.89,19.03,6.34,27.46,84,16786.49,120.7,86.17," sup 90%",63.8," sup 5%","0","1","1 or +","1 to 2","0","0","3 or +","1","1",1.675079395,0.057663491,17.7010171,74.10343053
0.69,3.45,4.83,32.41,13.79,12.41,32.41,88.32,22222.16,81.7,91.06," sup 90%",71.28," inf 5%","1","0","0","0","0","0","0","0","0",1.202165318,0.053596311,9.861552962,87.11757522
17.14,5.71,0,34.29,11.43,2.86,28.57,86.75,18417.58,36.47,82.61," sup 90%",67.11," inf 5%","0","0","0","0","1 or +","0","0","0","0",1.092965396,0.554243117,14.96940819,77.31494501
0,0,8.71,43.56,8.52,4.36,34.85,90.73,25309.27,38.85,82.04," sup 90%",84.78," inf 5%","0","1","0","0","0","0","0","0","0",0.92008932,0.096292904,28.38543879,68.2855812
2.31,5.66,5.13,35.22,11.05,14.4,26.23,91.78,20169.99,34.49,90.23," sup 90%",72.62," sup 5%","1","1","1 or +","1 to 2","1 or +","0","1 to 2","1","1",0.441211648,0.007725083,87.12054849,7.080060324
1.09,4.58,8.94,29.01,13.52,14.4,28.45,89.49,19516,214.3,89.63," inf 90%",62.95," inf 5%","2 or +","2 or +","1 or +","3 or +","0","0","3 or +","2 or +","2",1.949692293,2.205965232,26.5475853,62.3614657
0.31,2.36,4.61,34.68,13.71,13.28,31.05,86.22,17726.58,539.46,87.98," inf 90%",32.68," sup 5%","2 or +","2 or +","1 or +","3 or +","1 or +","0","3 or +","2 or +","3 or +",5.589817634,1.078397813,26.51476442,39.9235813
3.7,3.7,3.7,46.67,14.81,8.89,18.52,87.11,19438.76,110.17,90.01," sup 90%",69.53," inf 5%","0","0","0","0","0","0","0","0","1",1.812678075,0.05806085,11.04114771,86.08850699
0.31,4.93,6.94,22.82,13.26,11.87,39.86,88.14,25078.15,45.25,69.22," sup 90%",75.01," inf 5%","2 or +","2 or +","1 or +","3 or +","0","0","3 or +","2 or +","3 or +",0.388819193,0.192597751,75.17465718,9.409827393
6.25,4.16,7.29,34.36,11.5,3.12,33.32,86.98,15953.33,17.79,84.11," sup 90%",72.22," inf 5%","0","0","0","0","1 or +","0","1 to 2","0","0",0.373387651,0.276423155,72.23398704,20.83064884
0,7.54,5.66,32.05,7.54,13.2,34.01,93.6,27055.86,89.56,91.79," sup 90%",84.68," inf 5%","0","0","0","0","0","0","0","0","1",1.243471151,1.456432117,28.94391252,65.82321978
0,0,0,27.27,18.18,9.09,45.45,94.74,18971.66,4.03,80.85," sup 90%",53.85," inf 5%","0","0","0","0","0","0","0","0","0",0.078580721,0.005290153,92.89993321,2.814629686
1.77,5.1,3.99,42.56,11.55,10.64,24.38,86.48,16820.58,49.19,89.8," sup 90%",73.4," inf 5%","1","1","1 or +","0","0","0","1 to 2","1","3 or +",0.637719619,0.307867668,63.69540566,29.19875898
0.44,7.26,9.58,19.61,14.4,14.09,34.62,91.24,34521.68,315.4,95.06," inf 90%",74.45," inf 5%","1","2 or +","1 or +","3 or +","0","0","3 or +","2 or +","3 or +",3.11935127,8.824521823,23.48787422,42.69433248
2.5,7.5,2.5,30,12.5,12.5,32.5,87.8,19084.05,24.53,93.32," sup 90%",63.53," inf 5%","0","0","0","0","0","0","0","0","0",0.470463882,0.079070378,73.4341403,20.49327756
2.85,6.8,5.96,25.9,14.49,10.42,33.59,91.58,30379.26,80.4,31.39," inf 90%",69.52," inf 5%","2 or +","2 or +","1 or +","3 or +","1 or +","0","3 or +","2 or +","3 or +",1.071813206,0.213993385,80.21962116,0.260142124
0.75,4.48,9.7,29.85,15.67,17.91,21.64,87.69,22194.05,36,90.39," sup 90%",86.31," inf 5%","0","1","0","0","1 or +","0","0","0","1",0.371339012,0.037785839,85.85192392,8.936826522
0.48,2.79,10.71,25.23,14.57,16.34,29.89,93.05,30089.79,219.07,95.62," inf 90%",74.6," sup 5%","2 or +","2 or +","1 or +","3 or +","0","0","3 or +","2 or +","3 or +",1.718121287,0.146853724,61.11883172,19.54354048
2.15,2.15,5.38,29.04,16.13,12.91,32.24,89.72,17125.29,12.69,76.81," sup 90%",66.84," inf 5%","0","0","0","0","1 or +","0","0","0","0",0.184969353,0.037565522,88.26762767,8.646980135
0.77,2.72,2.38,34.56,16.84,8.17,34.56,79.19,16761.79,148.85,83.33," inf 90%",52.62," sup 5%","2 or +","2 or +","1 or +","3 or +","1 or +","0","3 or +","2 or +","3 or +",1.596568463,0.069523942,65.10738263,21.96619544
0.8,4,7.2,38.4,16.8,9.6,23.2,88.12,18612.32,214.43,91.77," sup 90%",62.45," inf 5%","0","0","0","0","0","0","0","0","0",1.742533846,9.782053582,27.82347127,54.50482839
13.45,7.56,0.84,31.93,7.56,7.56,31.09,89.33,17956.12,34.92,76.83," sup 90%",77.78," inf 5%","0","1","0","0","0","0","0","0","0",0.797246304,0.555426899,21.33025396,75.54706961
0.77,2.71,5.64,34.52,16.45,13.56,26.35,85.17,19210.24,1155.11,88.26," inf 90%",40.37," sup 5%","2 or +","2 or +","1 or +","3 or +","1 or +","1 or +","3 or +","2 or +","3 or +",8.592327017,7.966135179,16.83968847,35.67472573
0,5.97,1.49,35.82,19.4,7.46,29.85,90.57,19638.37,25.5,89.81," sup 90%",72.99," inf 5%","0","0","0","0","0","0","0","0","0",0.331441734,0.052088439,80.21474157,15.00207639
0.7,6.29,14.69,20.98,16.78,15.38,25.17,94.41,34421.05,78.19,89.07," sup 90%",78.34," inf 5%","0","0","0","0","0","0","0","0","0",0.812222365,0.360768256,36.97111569,59.02975978
11.11,2.78,5.56,13.89,25,16.67,25,90.12,27108.99,33.27,87.18," sup 90%",70.59," inf 5%","0","0","0","0","0","0","0","0","0",0.647924985,0.188300728,26.15729294,70.64722714
0,0,5.88,44.12,26.47,2.94,20.59,88.75,16026.02,33.33,91.02," sup 90%",67.16," inf 5%","0","0","0","0","0","0","0","0","0",0.56296383,0.464608412,42.48260312,52.35096794
0.85,3.4,5.11,43.83,11.7,17.66,17.45,90.65,19876.66,37.51,86.72," sup 90%",74.09," inf 5%","0","2 or +","1 or +","1 to 2","1 or +","0","1 to 2","1","1",0.443781658,0.064361022,67.79520522,22.06818755
0.03,2.5,3.31,35.55,24.82,10.15,23.63,80.62,15652.23,2711.28,95.98," inf 90%",34.62," sup 5%","1","2 or +","1 or +","3 or +","1 or +","1 or +","3 or +","2 or +","3 or +",10.46023703,7.238829782,22.52374375,6.640608216
6.56,3.28,3.28,40.98,16.39,8.2,21.31,93.84,20442.35,52.63,84.86," sup 90%",80.87," inf 5%","0","0","0","0","0","0","0","0","0",0.772258737,0.424895523,20.43099507,73.64098391
1.44,8.63,4.32,38.13,17.27,9.35,20.86,86.51,20198.88,18.14,89.9," sup 90%",72.4," inf 5%","0","0","0","0","1 or +","0","0","0","0",0.172842041,0.170767405,94.8109402,0.688316392
0,4.03,7.26,30.65,12.9,23.39,21.77,96.02,25141,132.24,97.15," sup 90%",84.52," inf 5%","0","0","0","0","0","0","0","0","0",0.999865993,0.145407241,36.71671384,51.90690963
2.68,4.02,6.7,26.79,11.61,16.07,32.14,89.35,20321.84,109.72,86.41," sup 90%",72.23," inf 5%","0","0","0","0","0","0","0","0","1",1.57985518,2.606151455,19.78297933,72.764178
7.87,6.74,7.87,25.84,15.73,7.87,28.09,86.96,18069.61,84.96,92.09," sup 90%",76.69," inf 5%","0","0","0","0","1 or +","0","0","0","0",1.487407214,2.259328536,10.81812771,83.29271568
